model,kind,severity,accuracy,stability,n_images,seed
M3-t0,photo,1.0,0.032388663967611336,0.9999429262601413,988,0
M3-t0,blur,0.0,0.032388663967611336,1.0,988,0
M3-t0,blur,0.2,0.032388663967611336,0.9999735963489362,988,0
M3-t0,blur,0.4,0.032388663967611336,0.9998854876529832,988,0
M3-t0,blur,0.6,0.032388663967611336,0.9997960449712961,988,0
M3-t0,blur,0.8,0.032388663967611336,0.9997036949343044,988,0
M3-t0,blur,1.0,0.032388663967611336,0.9996328508323021,988,0
M3-t0,noise,0.0,0.032388663967611336,1.0,988,0
M3-t0,noise,0.2,0.032388663967611336,0.9999461540809045,988,0
M3-t0,noise,0.4,0.032388663967611336,0.9999043449216526,988,0
M3-t0,noise,0.6,0.032388663967611336,0.9998706284804866,988,0
M3-t0,noise,0.8,0.032388663967611336,0.9998356707182973,988,0
M3-t0,noise,1.0,0.032388663967611336,0.999804545028007,988,0
M3-t0,moire,0.0,0.032388663967611336,1.0,988,0
M3-t0,moire,0.2,0.032388663967611336,0.9999597777239224,988,0
M3-t0,moire,0.4,0.032388663967611336,0.9999116210319735,988,0
M3-t0,moire,0.6,0.032388663967611336,0.999864694077959,988,0
M3-t0,moire,0.8,0.032388663967611336,0.9998225181208931,988,0
M3-t0,moire,1.0,0.032388663967611336,0.9997841124592522,988,0
M3-t0,combined,0.0,0.032388663967611336,1.0,988,0
M3-t0,combined,0.2,0.032388663967611336,0.9998672037472126,988,0
M3-t0,combined,0.4,0.032388663967611336,0.999751181737614,988,0
M3-t0,combined,0.6,0.032388663967611336,0.9996593510091063,988,0
M3-t0,combined,0.8,0.032388663967611336,0.9995791265356396,988,0
M3-t0,combined,1.0,0.032388663967611336,0.9995079407325158,988,0
